Route,Origin,Destination,Growth (%),Post-COVID Avg Passengers/Month (2023+),Pre-COVID Avg Passengers/Month (2017-2019)
ZRH-Bologna,ZRH,Bologna,814.4,1052.0,115.0
ZRH-Zanzibar,ZRH,Zanzibar,626.1,1610.0,222.0
ZRH-Pula,ZRH,Pula,7.6,300.0,279.0
