Route,Origin,Destination,Growth (%),Post-COVID Avg Passengers/Month (2023+),Pre-COVID Avg Passengers/Month (2017-2019)
GVA-Cuba,GVA,Cuba,-69.0,331.0,1068.0
GVA-London City,GVA,London City,-68.6,2608.0,8312.0
GVA-Leeds Bradford,GVA,Leeds Bradford,-14.4,1309.0,1529.0
