model,mae,rmse,mape,n_routes_mae,n_routes_mape
mlp,464.5405747960601,611.0913590180752,73.3626026549582,19,19
random_forest,408.50056537576893,569.6198187367336,43.54930383000565,19,19
xgboost,452.23675322950936,590.6379440783251,57.71261191794163,19,19
