Route,Origin,Destination,Growth (%),Post-COVID Avg Passengers/Month (2023+),Pre-COVID Avg Passengers/Month (2017-2019)
ZRH-Casablanca Mohamed V,ZRH,Casablanca Mohamed V,-71.9,236.0,838.0
ZRH-Santa Cruz De La Palma,ZRH,Santa Cruz De La Palma,-67.0,158.0,478.0
ZRH-Beijing Capital,ZRH,Beijing Capital,-65.8,1052.0,3073.0
ZRH-Leeds Bradford,ZRH,Leeds Bradford,-45.5,66.0,121.0
ZRH-Birmingham International,ZRH,Birmingham International,-27.7,2269.0,3141.0
