mae,rmse,mape,origin,destination,model
702.5,819.7376612876423,32.32582629198152,GVA,Birmingham International,seasonal_naive
136.33333333333334,152.29138736864493,16.554175158931912,GVA,Chania,seasonal_naive
134.5,157.46375244269183,77.8148292646215,GVA,Cuba,seasonal_naive
182.08333333333334,192.00792084355965,12.671353509114317,GVA,Izmir Adnan Menderes,seasonal_naive
244.0,574.671790387058,19.098064457321286,GVA,Leeds Bradford,seasonal_naive
102.83333333333333,172.24159389260964,22.91735539009556,GVA,London City,seasonal_naive
199.0,229.607636342232,19.90437258064731,GVA,Montenegro,seasonal_naive
583.9166666666666,612.8875984496124,9.152385140965148,GVA,Montreal Dorval International,seasonal_naive
1330.5,1336.4751525312145,879.5398828490587,GVA,Skopje Alexander The Great,seasonal_naive
200.83333333333334,240.86406954961132,22.865804412138026,GVA,Tivat,seasonal_naive
120.5,145.05114040686937,8.652138264551105,ZRH,Beijing Capital,seasonal_naive
316.1666666666667,411.31800349607846,11.080731237789742,ZRH,Birmingham International,seasonal_naive
480.5,483.9192425739375,45.539901573048674,ZRH,Bologna,seasonal_naive
158.33333333333334,270.98708456308395,110.3759686433479,ZRH,Cartagena,seasonal_naive
71.83333333333333,101.10637962067477,23.1921818141521,ZRH,Casablanca Mohamed V,seasonal_naive
16.0,19.139836293274122,22.239898569233905,ZRH,Leeds Bradford,seasonal_naive
135.58333333333334,148.0440531283397,79.20625845710234,ZRH,Pula,seasonal_naive
66.5,115.48665146529562,22.194562685582234,ZRH,Santa Cruz De La Palma,seasonal_naive
732.4166666666666,947.4739442327689,33.42153167679945,ZRH,Zanzibar,seasonal_naive
